Temporada, Esport, Categoria, Grup, Jornada, Data, Local, Visitant, Camp de joc, Hora
2019/2020, Handbol, Alevi Femeni, 1a Fase, 8, 21/12/19, LA SALLE M A , DESCANSA, A DESIGNAR, 00:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 9, 18/01/20, CH CARDEDEU BLANC, CH CANOVELLES, A DESIGNAR, 00:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 9, 18/01/20, CH PALAUTORDERA VERD, LA SALLE M B , A DESIGNAR, 00:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 9, 18/01/20, HC LAIETA ARG, CH CARDEDEU VERMELL, A DESIGNAR, 00:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 9, 18/01/20, DESCANSA, CH PALAUTORDERA BLANC, A DESIGNAR, 00:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 9, 18/01/20, PME-AEH LES FRANQUESES NEGRE, LA SALLE M A , A DESIGNAR, 00:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 10, 25/01/20, PME-AEH LES FRANQUESES NEGRE, CH PALAUTORDERA BLANC, A DESIGNAR, 00:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 10, 25/01/20, DESCANSA, CH CARDEDEU VERMELL, A DESIGNAR, 00:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 10, 25/01/20, HC LAIETA ARG, LA SALLE M B , A DESIGNAR, 00:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 10, 25/01/20, CH PALAUTORDERA VERD, CH CARDEDEU BLANC, A DESIGNAR, 00:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 10, 25/01/20, LA SALLE M A , CH CANOVELLES, A DESIGNAR, 00:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 11, 01/02/20, CH CARDEDEU BLANC, HC LAIETA ARG, A DESIGNAR, 00:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 11, 01/02/20, CH PALAUTORDERA BLANC, LA SALLE M A , A DESIGNAR, 00:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 11, 01/02/20, CH CARDEDEU VERMELL, PME-AEH LES FRANQUESES NEGRE, A DESIGNAR, 00:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 11, 01/02/20, LA SALLE M B , DESCANSA, A DESIGNAR, 00:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 11, 01/02/20, CH CANOVELLES, CH PALAUTORDERA VERD, A DESIGNAR, 00:00
