Temporada, Esport, Categoria, Grup, Jornada, Data, Local, Visitant, Camp de joc, Hora
2019/2020, Handbol, Benjami Femeni, 1a fase, 10, 25/01/20, FBMG KH-7 MIRIAM GONZALEZ, CH CARDEDEU VERMELL, A DESIGNAR, 00:00
2019/2020, Handbol, Benjami Femeni, 1a fase, 11, 01/02/20, HB MONTORNES, HB VILAMAJOR, A DESIGNAR, 00:00
2019/2020, Handbol, Benjami Femeni, 1a fase, 11, 01/02/20, CH CARDEDEU VERMELL, PME-AEH LES FRANQUESES, A DESIGNAR, 00:00
2019/2020, Handbol, Benjami Femeni, 1a fase, 11, 01/02/20, LA SALLE M , CH SANT ESTEVE FM, A DESIGNAR, 00:00
2019/2020, Handbol, Benjami Femeni, 1a fase, 11, 01/02/20, CH CARDEDEU BLANC, FBMG KH-7 MIRIAM GONZALEZ, A DESIGNAR, 00:00
2019/2020, Handbol, Benjami Femeni, 1a fase, 12, 08/02/20, FBMG KH-7 MIRIAM GONZALEZ, LA SALLE M , A DESIGNAR, 00:00
2019/2020, Handbol, Benjami Femeni, 1a fase, 12, 08/02/20, PME-AEH LES FRANQUESES, CH CARDEDEU BLANC, A DESIGNAR, 00:00
2019/2020, Handbol, Benjami Femeni, 1a fase, 12, 08/02/20, CH CARDEDEU VERMELL, HB MONTORNES, A DESIGNAR, 00:00
2019/2020, Handbol, Benjami Femeni, 1a fase, 12, 08/02/20, CH SANT ESTEVE FM, HB VILAMAJOR, A DESIGNAR, 00:00
2019/2020, Handbol, Benjami Femeni, 1a fase, 13, 15/02/20, CH SANT ESTEVE FM, HB MONTORNES, A DESIGNAR, 00:00
2019/2020, Handbol, Benjami Femeni, 1a fase, 13, 15/02/20, HB VILAMAJOR, FBMG KH-7 MIRIAM GONZALEZ, A DESIGNAR, 00:00
2019/2020, Handbol, Benjami Femeni, 1a fase, 13, 15/02/20, LA SALLE M , PME-AEH LES FRANQUESES, A DESIGNAR, 00:00
2019/2020, Handbol, Benjami Femeni, 1a fase, 13, 15/02/20, CH CARDEDEU BLANC, CH CARDEDEU VERMELL, A DESIGNAR, 00:00
2019/2020, Handbol, Benjami Femeni, 1a fase, 14, 29/02/20, FBMG KH-7 MIRIAM GONZALEZ, CH SANT ESTEVE FM, A DESIGNAR, 00:00
2019/2020, Handbol, Benjami Femeni, 1a fase, 14, 29/02/20, PME-AEH LES FRANQUESES, HB VILAMAJOR, A DESIGNAR, 00:00
2019/2020, Handbol, Benjami Femeni, 1a fase, 14, 29/02/20, CH CARDEDEU VERMELL, LA SALLE M , A DESIGNAR, 00:00
2019/2020, Handbol, Benjami Femeni, 1a fase, 14, 29/02/20, HB MONTORNES, CH CARDEDEU BLANC, A DESIGNAR, 00:00
